zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
94587,Union City,7.0,69516,3525.0,21258,20433,474300.0,82083.0
94110,San Francisco,2.0,69333,29816.0,28913,27128,768200.0,82111.0
94533,Fairfield,5.0,69277,3207.0,24359,22620,211100.0,55413.0
11209,Brooklyn,1.0,68853,31845.0,34679,31065,625600.0,58261.0
94536,Fremont,3.0,68790,4717.0,25068,23868,548600.0,87001.0
78660,Pflugerville,5.0,68789,1519.0,23950,22847,165700.0,76007.0
11375,Forest Hills,2.0,68733,34707.0,34631,32547,358300.0,72000.0
84118,Salt Lake City,3.0,68295,3987.0,20084,19262,168700.0,61203.0
99301,Pasco,37.0,68191,147.0,21697,20738,162600.0,56098.0
19120,Philadelphia,2.0,68104,20009.0,24009,22358,97100.0,33966.0
10463,Bronx,2.0,67970,47002.0,30368,28408,289700.0,54258.0
92882,Corona,5.0,67917,2638.0,20452,19448,328000.0,71402.0
90026,Los Angeles,2.0,67869,16063.0,26686,24956,551500.0,44327.0
10466,Bronx,2.0,67813,33601.0,24854,23318,391300.0,44012.0
90631,La Habra,3.0,67619,4863.0,22497,21452,416400.0,65804.0
30349,Atlanta,9.0,67602,1473.0,30002,25422,126400.0,43498.0
90022,Los Angeles,2.0,67179,15334.0,17713,17023,294800.0,38925.0
33186,Miami,3.0,67137,5313.0,24489,23111,214200.0,63834.0
11746,Huntington Station,5.0,67094,2810.0,21578,20825,467700.0,97796.0
11233,Brooklyn,1.0,67053,49746.0,29074,25693,551900.0,34492.0
00612,Arecibo,7.0,67010,991.0,30992,26038,,
47906,West Lafayette,11.0,66972,494.0,24432,22671,165300.0,36101.0
97007,Beaverton,5.0,66954,2501.0,25553,24427,268900.0,68941.0
95035,Milpitas,6.0,66943,2880.0,19874,19241,513400.0,95437.0
91730,Rancho Cucamonga,4.0,66925,4624.0,24024,22811,283700.0,62856.0
37042,Clarksville,9.0,66916,1097.0,27232,24404,121700.0,46477.0
94558,Napa,30.0,66830,188.0,27133,24275,442500.0,72286.0
29483,Summerville,12.0,66731,493.0,26575,24515,152000.0,51814.0
19124,Philadelphia,2.0,66691,13681.0,24872,22487,92100.0,28726.0
11372,Jackson Heights,0.9090909090909091,66636,90360.0,25100,23906,265500.0,48683.0
10469,Bronx,1.0,66631,26903.0,24078,22554,427100.0,57776.0
60614,Chicago,2.0,66617,21040.0,37951,34850,489300.0,86215.0
75228,Dallas,3.0,66551,5837.0,26701,23546,105300.0,36274.0
07087,Union City,1.0,66515,51633.0,24962,22842,307600.0,40903.0
77095,Houston,3.0,66502,4322.0,23943,22922,167000.0,89393.0
10472,Bronx,1.0,66358,63167.0,23386,22002,429600.0,30288.0
90003,Los Angeles,2.0,66266,18660.0,17127,15642,231700.0,29686.0
30281,Stockbridge,8.0,66140,941.0,26239,24239,132000.0,53818.0
60657,Chicago,2.0,65996,29028.0,41483,37865,392500.0,75885.0
60640,Chicago,1.0,65790,27331.0,37598,34315,266900.0,46974.0
27610,Raleigh,7.0,65648,1537.0,23846,22037,144900.0,43520.0
85032,Phoenix,3.0,65485,5272.0,29594,25991,156100.0,48461.0
92703,Santa Ana,2.0,65445,16036.0,13177,12667,290800.0,50824.0
92114,San Diego,2.0,65433,7943.0,17930,17147,272300.0,56310.0
93230,Hanford,15.0,65264,249.0,22331,21067,182500.0,52611.0
33411,West Palm Beach,5.0,65245,1530.0,27877,24104,202700.0,63385.0
00976,Trujillo Alto,4.0,65136,3891.0,26564,23679,,
78613,Cedar Park,5.0,65099,2318.0,24120,23069,198900.0,81928.0
95687,Vacaville,7.0,65096,1496.0,22537,21369,252400.0,73583.0
92021,El Cajon,6.0,65068,2181.0,23881,22649,299000.0,49521.0
95206,Stockton,13.0,65004,449.0,17923,16324,131700.0,43559.0
60609,Chicago,2.0,64906,8367.0,24656,20119,171200.0,33630.0
19143,Philadelphia,2.0,64849,20342.0,29507,25490,82700.0,30995.0
20906,Silver Spring,4.0,64696,5343.0,25715,24081,311700.0,72354.0
30024,Suwanee,6.0,64614,1519.0,21682,20715,272400.0,99931.0
93306,Bakersfield,13.0,64587,733.0,22210,20215,146000.0,54126.0
78046,Laredo,9.0,64548,262.0,15724,14470,88400.0,34399.0
90019,Los Angeles,2.0,64458,16578.0,25116,23344,617300.0,42043.0
30022,Alpharetta,5.0,64359,2530.0,24607,23340,316800.0,99597.0
60651,Chicago,3.0,64267,18382.0,23199,19703,174200.0,30971.0
44035,Elyria,7.0,64263,1346.0,29454,26489,106000.0,43449.0
89121,Las Vegas,2.0,64096,6969.0,28968,25373,110200.0,40836.0
94080,South San Francisco,3.0,63975,6224.0,21946,21061,586400.0,77058.0
33024,Hollywood,3.0,63916,5955.0,24022,22276,160900.0,50417.0
14850,Ithaca,13.0,63886,507.0,26467,24786,209800.0,46331.0
