zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
29108,20469,13.0,98.0,0.8724954462659381,100800.0,36141.0,0
98371,20468,4.0,1775.0,0.932107815495658,265500.0,64335.0,1
14420,20467,8.0,338.0,0.947845507094062,129100.0,54643.0,0
60490,20463,3.0,2168.0,0.975194060074249,284800.0,108477.0,1
91101,20460,0.9090909090909092,15445.0,0.9154383896235155,425500.0,56980.0,1
14845,20453,9.0,256.0,0.9510012305627028,123400.0,61005.0,0
18020,20447,4.0,1478.0,0.9713072568193515,258200.0,78938.0,1
44067,20441,4.0,1208.0,0.9523651268416972,185700.0,67917.0,1
91361,20438,7.0,610.0,0.9583428702220188,760600.0,101146.0,1
48842,20432,4.0,1135.0,0.9406555491661874,136300.0,56395.0,0
39305,20431,9.0,187.0,0.9294892560198683,151000.0,49664.0,0
85367,20429,45.0,450.0,0.5642497364413729,125100.0,50538.0,2
98221,20429,12.0,385.0,0.8266242616992276,343600.0,60369.0,1
98028,20419,3.0,3606.0,0.9317067476068176,386200.0,82448.0,1
38614,20418,16.0,82.0,0.9005990952439173,58500.0,26958.0,0
50208,20417,12.0,124.0,0.9109490664015026,106500.0,47060.0,0
70401,20415,7.0,583.0,0.8980422349318082,154300.0,36727.0,0
11694,20408,2.0,14944.0,0.8859865110801841,623200.0,76944.0,1
62656,20405,11.0,141.0,0.9172558261324955,97100.0,42966.0,0
30035,20396,3.0,2385.0,0.8741660915573959,105400.0,41584.0,0
15241,20395,3.0,1961.0,0.9562053115423902,249700.0,102380.0,1
28501,20389,10.0,192.0,0.8582708251085669,84300.0,28529.0,0
90715,20388,1.0,11990.0,0.9530128004995317,356600.0,65481.0,1
71108,20388,3.0,2385.0,0.9077863738457699,69200.0,31034.0,0
95965,20384,28.0,64.0,0.8995251187203199,144800.0,36080.0,0
33935,20383,18.0,60.0,0.802360248447205,82200.0,35949.0,0
70807,20377,5.0,799.0,0.8864848844101956,84400.0,24646.0,0
64063,20374,3.0,3253.0,0.9498570747975227,144800.0,63065.0,0
14072,20374,5.0,721.0,0.959265079173214,182100.0,80243.0,1
31558,20373,11.0,271.0,0.8458114585711025,165700.0,50879.0,0
91040,20372,3.0,2484.0,0.9517589239524056,414200.0,69312.0,1
2879,20371,6.0,545.0,0.7480841204776332,352000.0,75692.0,1
63112,20368,2.0,6157.0,0.755510854077613,138200.0,27383.0,0
53083,20362,6.0,628.0,0.9442074927953891,161500.0,60858.0,0
43725,20357,10.0,153.0,0.8857677902621723,97900.0,37602.0,0
13212,20356,4.0,1922.0,0.9623821013380127,111100.0,51997.0,0
44641,20349,7.0,376.0,0.9418451597463204,137800.0,53795.0,0
1440,20347,5.0,846.0,0.9008606602026364,178900.0,49067.0,0
60450,20332,12.0,129.0,0.9204375359815774,202400.0,62647.0,0
40351,20329,16.0,82.0,0.8797864933859364,104700.0,36019.0,0
75048,20328,3.0,1939.0,0.955249569707401,181500.0,87171.0,1
71201,20319,3.0,1565.0,0.9143454038997214,172600.0,42507.0,0
28209,20317,2.0,3705.0,0.9084219133278822,268300.0,60180.0,1
70586,20313,19.0,68.0,0.8777888777888778,88300.0,33019.0,0
63111,20313,4.0,6275.0,0.8055295220243673,90900.0,30334.0,0
60106,20309,3.0,2264.0,0.9388769478774852,234300.0,57624.0,1
46952,20308,14.0,191.0,0.8995624300396866,89100.0,39296.0,0
10703,20301,2.0,11523.0,0.9268140377169977,367200.0,57116.0,1
98166,20301,4.0,3580.0,0.9250530548419524,386900.0,63320.0,1
30106,20300,4.0,1638.0,0.8770152003684938,125300.0,45850.0,0
10038,20300,0.5681818181818182,68214.0,0.9215551855841739,616300.0,66074.0,1
78728,20299,2.0,2503.0,0.93818359375,170500.0,48612.0,0
48326,20298,5.0,1174.0,0.8872485881303874,116200.0,52937.0,0
83714,20290,9.0,416.0,0.917361720807726,173900.0,44193.0,0
71701,20286,16.0,71.0,0.86119266983902,73500.0,31388.0,0
91011,20280,3.0,1711.0,0.9661924214678124,1000001.0,156557.0,1
4011,20278,8.0,434.0,0.8822794041045943,218200.0,54758.0,0
94597,20277,2.0,5180.0,0.9371378057165308,567400.0,86227.0,1
75134,20276,4.0,1984.0,0.9218157181571816,101500.0,46971.0,0
36092,20274,10.0,155.0,0.9000853970964987,127200.0,49012.0,0
30277,20270,9.0,456.0,0.9390883420734167,211200.0,75578.0,1
95827,20269,3.0,2663.0,0.9318123884782055,182700.0,51981.0,0
48846,20269,10.0,187.0,0.8725416604113496,94600.0,40189.0,0
71055,20268,13.0,79.0,0.8924731182795699,86500.0,37870.0,0
44116,20268,2.0,4243.0,0.9112131275639773,198600.0,67645.0,1
23508,20263,2.0,5759.0,0.9260752688172043,319000.0,50789.0,1
74601,20257,12.0,118.0,0.8499572832123025,64700.0,36028.0,0
98275,20256,4.0,2654.0,0.942676649508657,439400.0,93717.0,1
80516,20254,6.0,507.0,0.9552419354838709,345800.0,103713.0,1
21204,20253,2.0,3359.0,0.9161227942953831,424300.0,73611.0,1
48207,20252,4.0,3266.0,0.816367730413852,59100.0,22090.0,0
43202,20251,1.0,8067.0,0.9377178931499105,178600.0,40904.0,0
93103,20249,2.0,3866.0,0.920067805450515,847400.0,67053.0,1
48314,20245,3.0,2626.0,0.938026831295263,171800.0,58498.0,0
33837,20234,6.0,395.0,0.6795884622450854,121500.0,48649.0,2
21158,20234,8.0,272.0,0.9578783151326054,304900.0,79148.0,1
73044,20226,14.0,77.0,0.8835810734142744,107300.0,43646.0,0
33634,20225,3.0,2461.0,0.9271137026239067,128600.0,49315.0,0
33444,20221,3.0,4023.0,0.8505044000858554,175400.0,45173.0,0
44087,20221,3.0,1147.0,0.9461709862788789,201800.0,67840.0,1
17078,20218,8.0,667.0,0.9535698147311342,179800.0,58929.0,0
95521,20199,9.0,378.0,0.9531318923687693,345100.0,34046.0,1
45505,20197,5.0,1499.0,0.866659738100187,74000.0,27188.0,0
76086,20196,4.0,1376.0,0.9091749480009245,117100.0,48176.0,0
99203,20192,3.0,4317.0,0.9431173004820568,232300.0,65780.0,1
32119,20189,3.0,2579.0,0.836229141579219,120400.0,35727.0,0
31605,20188,6.0,379.0,0.9279655808236017,154600.0,53807.0,0
89433,20188,4.0,1300.0,0.9255840784539948,100500.0,41639.0,0
92603,20184,3.0,1523.0,0.954264835580194,965800.0,111307.0,1
34972,20180,21.0,22.0,0.8350367064920109,104500.0,30862.0,0
63138,20175,4.0,1100.0,0.8696465925355059,104600.0,33691.0,0
